Email,Country,City,Industry,Phone,properties.technical_test___create_date,properties.hs_object_id
,England,Milton Keynes,;Fruit and vegetables;Milling;Animal feeds;Dairy products;Poultry and fish;Meat;Bakery products,(+44) 3084734307,2021-12-30,461756
abdul_payne283008121@tonsy.org,England,Oxford,;Fruit and vegetables;Milling;Animal feeds;Dairy products;Poultry and fish;Meat;Bakery products,(+44) 8025437773,2021-12-19,460609
adalind_norman1985722433@bulaffy.com,England,,;Poultry and fish;Bakery products;Milling,(+44) 1460453758,2021-12-29,461114
adela_addis1886571220@corti.com,England,London,;Animal feeds;Bakery products;Milling,(+44) 8158811120,2021-10-31,460227
adeline_rixon1002221726@elnee.tech,England,Winchester,;Bakery products;Milling,(+44) 5781450616,2021-12-27,454624
adina_robinson934425231@sheye.org,England,,;Animal feeds;Meat;Milling,(+44) 4721156127,2021-08-27,457910
agnes_faulkner2080794510@typill.biz,England,,;Fruit and vegetables;Animal feeds;Dairy products;Meat;Bakery products,(+44) 3605106237,2021-12-21,461374
aiden_stewart1839595121@infotech44.tech,England,Winchester,;Fruit and vegetables;Milling;Animal feeds;Dairy products;Poultry and fish;Meat;Bakery products,(+44) 7248032138,2021-12-30,455800
aisha_james1727632802@infotech44.tech,England,Milton Keynes,;Animal feeds;Meat;Bakery products;Dairy products,(+44) 3667587402,2021-08-22,460102
alan_collingwood1178091345@extex.org,England,Milton Keynes,;Fruit and vegetables;Milling;Animal feeds;Dairy products;Poultry and fish;Meat;Bakery products,(+44) 654533544,2021-12-31,459687
aleksandra_west1969027294@cispeto.com,England,London,;Poultry and fish;Dairy products;Milling,(+44) 4653646072,2021-08-30,461106
alessandra_wheeler1278480487@naiker.biz,England,Winchester,;Poultry and fish;Milling,(+44) 1306462666,2021-05-24,456303
alessia_adams620166413@gmail.com,England,Milton Keynes,;Fruit and vegetables;Dairy products;Poultry and fish;Meat;Bakery products,(+44) 2876734228,2021-12-25,458528
alexander_yang711963282@deavo.com,England,Winchester,;Fruit and vegetables;Milling;Animal feeds;Dairy products;Poultry and fish;Meat;Bakery products,(+44) 367868341,2021-12-31,460365
alexia_vallory623812648@joiniaa.com,England,London,;Poultry and fish;Animal feeds;Fruit and vegetables;Milling,(+44) 1705372187,2021-12-14,454632
alison_rowlands599643336@qater.org,England,Milton Keynes,;Fruit and vegetables;Animal feeds;Poultry and fish;Meat;Bakery products,(+44) 265331071,2021-11-26,460828
amelia_eastwood1696946157@atink.com,England,Winchester,Milling,(+44) 6408477342,2021-09-24,457942
amy_collins784352516@vetan.org,England,Plymouth,;Poultry and fish;Dairy products,(+44) 6583248737,2021-05-12,461716
anabel_mason1490328591@deavo.com,England,Winchester,;Poultry and fish;Milling,(+44) 3676086831,2021-06-06,448182
anais_may122326327@supunk.biz,England,Plymouth,;Poultry and fish;Bakery products;Dairy products,(+44) 5485487837,2021-12-18,456909
analise_moss2123349686@deons.tech,England,Oxford,;Meat;Animal feeds;Bakery products;Dairy products,(+44) 4641541502,2021-11-12,454132
angel_foxley1203562200@irrepsy.com,England,London,;Fruit and vegetables;Milling;Animal feeds;Dairy products;Poultry and fish;Meat,(+44) 842547171,2021-12-22,461516
angelica_foxley233218888@gmail.com,England,,;Animal feeds;Meat;Fruit and vegetables;Dairy products,(+44) 3586381587,2021-11-19,457604
angelina_parker193602543@hourpy.biz,England,Oxford,;Fruit and vegetables;Milling;Animal feeds;Poultry and fish;Bakery products,(+44) 677041854,2021-12-21,458514
audrey_owen783747920@bungar.biz,England,Milton Keynes,;Fruit and vegetables;Dairy products,(+44) 8582560553,2021-11-17,454111
aurelia_matthews1292115967@guentu.biz,England,Milton Keynes,;Poultry and fish;Fruit and vegetables;Bakery products;Milling,(+44) 4570408183,2021-12-01,460221
barney_mcleod1208601158@iatim.tech,England,Plymouth,;Fruit and vegetables;Milling;Animal feeds;Dairy products;Poultry and fish;Meat;Bakery products,(+44) 1403608685,2021-12-14,454831
bart_dillon765100042@deons.tech,England,,;Fruit and vegetables;Milling;Animal feeds;Dairy products;Poultry and fish;Meat;Bakery products,(+44) 5046520727,2021-12-31,460224
beatrice_kelly640437445@brety.org,England,London,;Meat;Animal feeds;Bakery products,(+44) 5361164501,2021-12-23,457608
belinda_mccormick1790146579@joiniaa.com,England,Milton Keynes,;Fruit and vegetables;Meat,(+44) 4771567456,2021-10-05,461113
benny_osmond786416701@kideod.biz,England,Oxford,;Fruit and vegetables;Milling;Animal feeds;Dairy products;Poultry and fish;Meat;Bakery products,(+44) 4031162533,2021-12-29,454996
bernadette_yang828760523@acrit.org,England,,;Poultry and fish;Bakery products;Dairy products,(+44) 3123202075,2021-09-25,455759
bethany_hilton170306783@liret.org,England,London,;Milling;Animal feeds;Dairy products;Poultry and fish;Bakery products,(+44) 583768545,2021-12-24,460459
bob_andrews257014592@nanoff.biz,England,Winchester,;Fruit and vegetables;Milling;Animal feeds;Dairy products;Poultry and fish;Meat;Bakery products,(+44) 4638546832,2021-12-29,459653
boris_bentley1338592125@famism.biz,England,Plymouth,;Fruit and vegetables;Milling;Animal feeds;Dairy products;Poultry and fish;Meat;Bakery products,(+44) 7267501206,2021-12-31,454588
